tconst	titleType	title	year	endYear	isAdult	runtime	genres	rating	numVotes	description	cast	streaming_platforms	url	scrape_status
tt0294097	tvSeries	Harvey Birdman, Attorney at Law	2000.0	2007	0.0	15	Animation,Comedy,Sci-Fi	8.0	12506.0	Harvey Birdman, Attorney at Law features ex-superhero Harvey T. Birdman of Birdman and the Galaxy Trio as an attorney working for a law firm alongside other cartoon stars from 1960s and 1970s Hanna-Barbera cartoon series. Similarly, Harvey's clients are also primarily composed of characters taken from Hanna-Barbera cartoon series of the same era. Many of Birdman's nemeses featured in his former cartoon series also became attorneys, often representing the opposing side of a given case.			https://www.streamwithvpn.com/harvey-birdman-attorney-at-law-2000	success
tt0256009	movie	The Devil's Backbone	2001.0	\N	0.0	106	Drama,Horror,Thriller	7.4	73862.0	Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.			https://www.streamwithvpn.com/the-devils-backbone-2001	success
tt0162661	movie	Sleepy Hollow	1999.0	\N	0.0	105	Fantasy,Horror,Mystery	7.3	404559.0	Skeptical young detective Ichabod Crane gets transferred to the hamlet of Sleepy Hollow, New York, where he is tasked with investigating the decapitations of three people – murders the townsfolk attribute to a legendary specter, The Headless Horseman.			https://www.streamwithvpn.com/sleepy-hollow-1999	success
tt0368667		Interstella 5555: The 5tory of the 5ecret 5tar 5ystem											https://www.streamwithvpn.com/interstella-5555-the-5tory-of-the-5ecret-5tar-5ystem-2003	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/interstella-5555-the-5tory-of-the-5ecret-5tar-5ystem
tt7642818		Between Family											https://www.streamwithvpn.com/between-family-2017	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/between-family
tt0408236	movie	Sweeney Todd: The Demon Barber of Fleet Street	2007.0	\N	0.0	116	Drama,Horror,Musical	7.3	401150.0	The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.			https://www.streamwithvpn.com/sweeney-todd-the-demon-barber-of-fleet-street-2007	success
tt0373981		Control											https://www.streamwithvpn.com/control-2003	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/control
tt4855114	tvSeries	Good Behavior	2016.0	2017	0.0	\N	Crime,Drama,Mystery	8.0	12479.0	Letty Dobesh is a thief and con artist fresh out of prison whose life is always one wrong turn and bad decision from implosions — just how she likes it. But when she overhears a hitman being hired to kill a man’s wife, she sets out to derail the job, launching her on a collision course with the killer, entangling them in a dangerous and seductive relationship.			https://www.streamwithvpn.com/good-behavior-2016	success
tt1907668	movie	Flight	2012.0	\N	0.0	138	Drama,Thriller	7.3	391345.0	Commercial airline pilot Whip Whitaker has a problem with drugs and alcohol, though so far he's managed to complete his flights safely. His luck runs out when a disastrous mechanical malfunction sends his plane hurtling toward the ground. Whip pulls off a miraculous crash-landing that results in only six lives lost. Shaken to the core, Whip vows to get sober -- but when the crash investigation exposes his addiction, he finds himself in an even worse situation.			https://www.streamwithvpn.com/flight-2012	success
tt0159881	tvSeries	Jeopardy!	1984.0	\N	0.0	30	Family,Game-Show	8.3	8814.0	America's favorite quiz show where contestants are presented with general knowledge clues in the form of answers, and must phrase their responses in question form.			https://www.streamwithvpn.com/jeopardy-1984	success
tt2140479	movie	The Accountant	2016.0	\N	0.0	128	Action,Crime,Drama	7.3	383885.0	As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.			https://www.streamwithvpn.com/the-accountant-2016	success
tt1178618	tvSeries	Wallander	2008.0	2016	0.0	90	Crime,Drama,Mystery	7.8	17223.0	This drama follows Inspector Kurt Wallander – a middle-aged everyman – as he struggles against a rising tide of violence in the apparently sleepy backwaters in and around Ystad in Skane, southern Sweden. Based on the international best-selling books by Henning Mankell.			https://www.streamwithvpn.com/wallander-2008	success
tt1726839	tvSeries	The Looney Tunes Show	2011.0	2013	0.0	23	Adventure,Animation,Comedy	7.8	17213.0	"Bugs Bunny, Daffy Duck and the rest of the “Looney Tunes” characters are back with more adventures for a new generation of viewers. The animated series features roommates Bugs and Daffy moving out of the woods and into the suburbs, interacting with their neighbors, who happen to be other ""Looney Tunes"" favorites -- including Sylvester, Tweety, Porky Pig and Foghorn Leghorn."			https://www.streamwithvpn.com/the-looney-tunes-show-2011	success
tt0067140	movie	Duck, You Sucker!	1971.0	\N	0.0	138	Drama,War,Western	7.5	40263.0	At the beginning of the 1913 Mexican Revolution, greedy bandit Juan Miranda and idealist John H. Mallory, an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.			https://www.streamwithvpn.com/duck-you-sucker-1971	success
tt0082085	movie	Blow Out	1981.0	\N	0.0	108	Crime,Drama,Mystery	7.4	72438.0	While recording sound effects for a slasher flick, Jack Terry stumbles upon a real-life horror: a car careening off a bridge and into a river. Jack jumps into the water and fishes out Sally from the car, but the other passenger is already dead — a governor intending to run for president. As Jack does some investigating of his tapes, and starts a perilous romance with Sally, he enters a tangled web of conspiracy that might leave him dead.			https://www.streamwithvpn.com/blow-out-1981	success
tt2053425	movie	Rust and Bone	2012.0	\N	0.0	120	Drama,Romance	7.4	72405.0	Put in charge of his young son, Ali leaves Belgium for Antibes to live with his sister and her husband as a family. Ali's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.			https://www.streamwithvpn.com/rust-and-bone-2012	success
tt0019421	movie	Steamboat Bill, Jr.	1928.0	\N	0.0	70	Action,Comedy,Drama	7.8	17161.0	The just-out-of-college, effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was a child.			https://www.streamwithvpn.com/steamboat-bill-jr-1928	success
tt0278736		Stanley Kubrick: A Life in Pictures											https://www.streamwithvpn.com/stanley-kubrick-a-life-in-pictures-2001	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/stanley-kubrick-a-life-in-pictures
tt0485601	movie	The Secret of Kells	2009.0	\N	0.0	75	Adventure,Animation,Family	7.5	40046.0	Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?			https://www.streamwithvpn.com/the-secret-of-kells-2009	success
tt0359950	movie	The Secret Life of Walter Mitty	2013.0	\N	0.0	114	Adventure,Comedy,Drama	7.3	361878.0	A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.			https://www.streamwithvpn.com/the-secret-life-of-walter-mitty-2013	success
tt13299890	movie	The Great Indian Kitchen	2021.0	\N	0.0	100	Comedy,Drama,Family	8.1	10914.0	After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be.			https://www.streamwithvpn.com/the-great-indian-kitchen-2021	success
